observation_date,MNFCTRIRSA
1992-01-01,1.66
1992-02-01,1.65
1992-03-01,1.58
1992-04-01,1.57
1992-05-01,1.55
1992-06-01,1.53
1992-07-01,1.54
1992-08-01,1.56
1992-09-01,1.55
1992-10-01,1.56
1992-11-01,1.53
1992-12-01,1.53
1993-01-01,1.52
1993-02-01,1.51
1993-03-01,1.51
1993-04-01,1.52
1993-05-01,1.5
1993-06-01,1.5
1993-07-01,1.52
1993-08-01,1.52
1993-09-01,1.5
1993-10-01,1.48
1993-11-01,1.49
1993-12-01,1.48
1994-01-01,1.47
1994-02-01,1.46
1994-03-01,1.46
1994-04-01,1.46
1994-05-01,1.45
1994-06-01,1.45
1994-07-01,1.44
1994-08-01,1.43
1994-09-01,1.44
1994-10-01,1.43
1994-11-01,1.42
1994-12-01,1.39
1995-01-01,1.41
1995-02-01,1.41
1995-03-01,1.44
1995-04-01,1.42
1995-05-01,1.46
1995-06-01,1.45
1995-07-01,1.46
1995-08-01,1.45
1995-09-01,1.43
1995-10-01,1.45
1995-11-01,1.45
1995-12-01,1.41
1996-01-01,1.49
1996-02-01,1.52
1996-03-01,1.45
1996-04-01,1.45
1996-05-01,1.42
1996-06-01,1.41
1996-07-01,1.42
1996-08-01,1.42
1996-09-01,1.41
1996-10-01,1.43
1996-11-01,1.4
1996-12-01,1.4
1997-01-01,1.4
1997-02-01,1.37
1997-03-01,1.37
1997-04-01,1.36
1997-05-01,1.38
1997-06-01,1.36
1997-07-01,1.35
1997-08-01,1.36
1997-09-01,1.36
1997-10-01,1.37
1997-11-01,1.34
1997-12-01,1.36
1998-01-01,1.39
1998-02-01,1.36
1998-03-01,1.37
1998-04-01,1.39
1998-05-01,1.38
1998-06-01,1.41
1998-07-01,1.43
1998-08-01,1.39
1998-09-01,1.38
1998-10-01,1.38
1998-11-01,1.38
1998-12-01,1.37
1999-01-01,1.35
1999-02-01,1.34
1999-03-01,1.37
1999-04-01,1.36
1999-05-01,1.34
1999-06-01,1.35
1999-07-01,1.35
1999-08-01,1.33
1999-09-01,1.34
1999-10-01,1.33
1999-11-01,1.34
1999-12-01,1.34
2000-01-01,1.31
2000-02-01,1.37
2000-03-01,1.34
2000-04-01,1.32
2000-05-01,1.35
2000-06-01,1.34
2000-07-01,1.35
2000-08-01,1.38
2000-09-01,1.34
2000-10-01,1.38
2000-11-01,1.39
2000-12-01,1.37
2001-01-01,1.41
2001-02-01,1.38
2001-03-01,1.39
2001-04-01,1.42
2001-05-01,1.38
2001-06-01,1.39
2001-07-01,1.39
2001-08-01,1.36
2001-09-01,1.38
2001-10-01,1.37
2001-11-01,1.36
2001-12-01,1.33
2002-01-01,1.33
2002-02-01,1.31
2002-03-01,1.3
2002-04-01,1.28
2002-05-01,1.27
2002-06-01,1.27
2002-07-01,1.28
2002-08-01,1.27
2002-09-01,1.27
2002-10-01,1.28
2002-11-01,1.27
2002-12-01,1.3
2003-01-01,1.28
2003-02-01,1.27
2003-03-01,1.26
2003-04-01,1.3
2003-05-01,1.28
2003-06-01,1.26
2003-07-01,1.23
2003-08-01,1.24
2003-09-01,1.21
2003-10-01,1.21
2003-11-01,1.2
2003-12-01,1.2
2004-01-01,1.2
2004-02-01,1.2
2004-03-01,1.17
2004-04-01,1.18
2004-05-01,1.18
2004-06-01,1.19
2004-07-01,1.2
2004-08-01,1.19
2004-09-01,1.19
2004-10-01,1.17
2004-11-01,1.18
2004-12-01,1.17
2005-01-01,1.16
2005-02-01,1.18
2005-03-01,1.19
2005-04-01,1.17
2005-05-01,1.18
2005-06-01,1.17
2005-07-01,1.19
2005-08-01,1.16
2005-09-01,1.15
2005-10-01,1.15
2005-11-01,1.15
2005-12-01,1.14
2006-01-01,1.15
2006-02-01,1.16
2006-03-01,1.16
2006-04-01,1.19
2006-05-01,1.17
2006-06-01,1.19
2006-07-01,1.22
2006-08-01,1.21
2006-09-01,1.25
2006-10-01,1.26
2006-11-01,1.25
2006-12-01,1.22
2007-01-01,1.25
2007-02-01,1.23
2007-03-01,1.22
2007-04-01,1.22
2007-05-01,1.22
2007-06-01,1.22
2007-07-01,1.22
2007-08-01,1.22
2007-09-01,1.23
2007-10-01,1.22
2007-11-01,1.2
2007-12-01,1.22
2008-01-01,1.21
2008-02-01,1.22
2008-03-01,1.24
2008-04-01,1.2
2008-05-01,1.21
2008-06-01,1.2
2008-07-01,1.2
2008-08-01,1.24
2008-09-01,1.26
2008-10-01,1.31
2008-11-01,1.4
2008-12-01,1.42
2009-01-01,1.46
2009-02-01,1.43
2009-03-01,1.46
2009-04-01,1.46
2009-05-01,1.45
2009-06-01,1.4
2009-07-01,1.39
2009-08-01,1.37
2009-09-01,1.33
2009-10-01,1.33
2009-11-01,1.31
2009-12-01,1.29
2010-01-01,1.28
2010-02-01,1.3
2010-03-01,1.28
2010-04-01,1.27
2010-05-01,1.28
2010-06-01,1.29
2010-07-01,1.28
2010-08-01,1.28
2010-09-01,1.28
2010-10-01,1.28
2010-11-01,1.29
2010-12-01,1.28
2011-01-01,1.26
2011-02-01,1.28
2011-03-01,1.25
2011-04-01,1.28
2011-05-01,1.29
2011-06-01,1.29
2011-07-01,1.29
2011-08-01,1.29
2011-09-01,1.29
2011-10-01,1.3
2011-11-01,1.3
2011-12-01,1.3
2012-01-01,1.28
2012-02-01,1.29
2012-03-01,1.28
2012-04-01,1.29
2012-05-01,1.29
2012-06-01,1.31
2012-07-01,1.32
2012-08-01,1.31
2012-09-01,1.31
2012-10-01,1.31
2012-11-01,1.3
2012-12-01,1.3
2013-01-01,1.3
2013-02-01,1.28
2013-03-01,1.3
2013-04-01,1.31
